Direction,OpenPrice,ClosePrice,Profit/Loss,Profit/Loss in pips,Open Date,Close Date,First Commission,Second Commission,Deposit Curve,Percent Change,Adjusted Open Date,Adjusted Close Date
SELL, 1.1963, 1.1957, 10.34, 6, 1/5/2015 1:00:00 AM, 1/5/2015 8:00:00 AM, 0.616, 0.616, 10009.108, 0.000910800000000017, 1/5/2015 1:00:00 AM, 1/5/2015 8:00:00 AM
BUY, 1.19558, 1.18984, -99.07, -57.4, 1/5/2015 8:00:00 AM, 1/5/2015 12:34:35 PM, 0.616, 0.616, 9908.806, -0.0100210728068875, 1/5/2015 8:00:00 AM, 1/5/2015 12:34:35 PM
SELL, 1.1899702, 1.19464, -79.78, -46.7, 1/5/2015 1:00:00 PM, 1/6/2015 3:00:00 AM, 0.616, 0.757142857142857, 9827.65285714286, -0.00819000219170134, 1/5/2015 1:00:00 PM, 1/6/2015 3:00:00 AM
BUY, 1.19464, 1.19079, -65.24, -38.5, 1/6/2015 3:00:05 AM, 1/6/2015 10:00:00 AM, 0.757142857142857, 0.757142857142857, 9760.89857142857, -0.00679249528698681, 1/6/2015 3:00:05 AM, 1/6/2015 10:00:00 AM
SELL, 1.19079, 1.19374, -49.65, -29.5, 1/6/2015 10:00:00 AM, 1/6/2015 5:00:00 PM, 0.757142857142857, 0.757142857142857, 9709.73428571429, -0.00524175979699755, 1/6/2015 10:00:00 AM, 1/6/2015 5:00:00 PM
BUY, 1.19369, 1.18985, -64.29, -38.4, 1/6/2015 5:00:00 PM, 1/6/2015 9:00:00 PM, 0.757142857142857, 0.757142857142857, 9643.93, -0.00677714588040815, 1/6/2015 5:00:00 PM, 1/6/2015 9:00:00 PM
SELL, 1.1898402, 1.18505, 79.67, 47.9, 1/6/2015 9:00:01 PM, 1/7/2015 8:00:00 PM, 0.423333333333333, 0.423333333333333, 9722.75333333333, 0.00817336224270953, 1/7/2015 12:00:00 AM, 1/7/2015 8:00:00 PM
BUY, 1.1851115, 1.18202, -49.28, -30.9, 1/7/2015 8:00:00 PM, 1/8/2015 8:00:00 AM, 0.423333333333333, 0.62, 9672.43, -0.00517583153743148, 1/7/2015 8:00:00 PM, 1/8/2015 8:00:00 AM
SELL, 1.182, 1.181, 15.86, 10, 1/8/2015 8:00:00 AM, 1/8/2015 5:00:00 PM, 0.62, 0.62, 9687.05, 0.00151151261885594, 1/8/2015 8:00:00 AM, 1/8/2015 5:00:00 PM
BUY, 1.1810338, 1.17876, -36.11, -22.7, 1/8/2015 5:00:00 PM, 1/9/2015 2:00:00 PM, 0.62, 0.6075, 9649.7125, -0.00385437259021079, 1/8/2015 5:00:00 PM, 1/9/2015 2:00:00 PM
SELL, 1.17876, 1.18326, -70.04, -45, 1/9/2015 2:00:00 PM, 1/9/2015 4:00:00 PM, 0.6075, 0.6075, 9578.4575, -0.00738415781817345, 1/9/2015 2:00:00 PM, 1/9/2015 4:00:00 PM
BUY, 1.1832738, 1.18152, -27.1, -17.5, 1/9/2015 4:00:00 PM, 1/12/2015 9:00:00 AM, 0.6075, 0.625, 9550.125, -0.00295793973090139, 1/9/2015 4:00:00 PM, 1/12/2015 9:00:00 AM
SELL, 1.18154, 1.184, -39.82, -24.6, 1/12/2015 9:00:00 AM, 1/12/2015 3:00:00 PM, 0.625, 0.625, 9509.055, -0.00430046727137076, 1/12/2015 9:00:00 AM, 1/12/2015 3:00:00 PM
BUY, 1.1840338, 1.183, -16.66, -10.3, 1/12/2015 3:00:01 PM, 1/13/2015 7:00:00 AM, 0.625, 0.63, 9491.14, -0.00188399373018655, 1/12/2015 3:00:01 PM, 1/13/2015 7:00:00 AM
SELL, 1.1830002, 1.1786, 70.79, 44, 1/13/2015 7:00:00 AM, 1/14/2015 5:00:00 AM, 0.63, 0.608333333333333, 9560.69166666667, 0.00732806245263141, 1/13/2015 7:00:00 AM, 1/14/2015 5:00:00 AM
BUY, 1.17861, 1.17441, -65.83, -42, 1/14/2015 5:00:00 AM, 1/14/2015 10:00:00 AM, 0.608333333333333, 0.608333333333333, 9493.645, -0.00701274227893209, 1/14/2015 5:00:00 AM, 1/14/2015 10:00:00 AM
SELL, 1.17441, 1.1806, -96.34, -61.9, 1/14/2015 10:00:00 AM, 1/14/2015 1:32:11 PM, 0.608333333333333, 0.608333333333333, 9396.08833333333, -0.0102759969081072, 1/14/2015 10:00:00 AM, 1/14/2015 1:32:11 PM
BUY, 1.1826315, 1.17641, -95.83, -62.2, 1/14/2015 2:00:00 PM, 1/15/2015 6:02:54 AM, 0.608333333333333, 0.585, 9299.065, -0.010325928183235, 1/14/2015 2:00:00 PM, 1/15/2015 6:02:54 AM
SELL, 1.1772302, 1.16361, 201.03, 136.2, 1/15/2015 7:00:00 AM, 1/16/2015 7:00:00 AM, 0.585, 0.525, 9498.985, 0.0214989356456805, 1/15/2015 7:00:00 AM, 1/16/2015 7:00:00 AM
BUY, 1.16361, 1.15865, -67.31, -49.6, 1/16/2015 7:00:00 AM, 1/16/2015 12:00:00 PM, 0.525, 0.525, 9430.625, -0.00719655836913089, 1/16/2015 7:00:00 AM, 1/16/2015 12:00:00 PM
SELL, 1.15866, 1.1569, 23.71, 17.6, 1/16/2015 12:00:00 PM, 1/16/2015 9:00:00 PM, 0.525, 0.525, 9453.285, 0.00240280999403537, 1/16/2015 12:00:00 PM, 1/16/2015 9:00:00 PM
BUY, 1.1569476, 1.15846, 20.42, 15.1, 1/16/2015 9:00:00 PM, 1/20/2015 1:00:00 AM, 0.525, 0.516666666666667, 9472.66333333334, 0.00204990469803185, 1/16/2015 9:00:00 PM, 1/20/2015 1:00:00 AM
SELL, 1.15831, 1.16064, -31.53, -23.3, 1/20/2015 1:00:00 AM, 1/20/2015 11:00:00 AM, 0.516666666666667, 0.516666666666667, 9440.1, -0.00343761117517462, 1/20/2015 1:00:00 AM, 1/20/2015 11:00:00 AM
BUY, 1.16064, 1.1582, -32.91, -24.4, 1/20/2015 11:00:00 AM, 1/20/2015 12:00:00 PM, 0.516666666666667, 0.516666666666667, 9406.15666666667, -0.00359565400084032, 1/20/2015 11:00:00 AM, 1/20/2015 12:00:00 PM
SELL, 1.1582202, 1.15749, 9.81, 7.3, 1/20/2015 12:00:00 PM, 1/21/2015 6:00:00 AM, 0.516666666666667, 0.52, 9414.93, 0.000932722433214766, 1/20/2015 12:00:00 PM, 1/21/2015 6:00:00 AM
BUY, 1.15749, 1.15741, -1.09, -0.8, 1/21/2015 6:00:00 AM, 1/21/2015 6:00:00 PM, 0.52, 0.52, 9412.8, -0.00022623641386617, 1/21/2015 6:00:00 AM, 1/21/2015 6:00:00 PM
SELL, 1.1574306, 1.16237, -67.36, -49.4, 1/21/2015 6:00:00 PM, 1/22/2015 10:00:00 AM, 0.52, 0.5075, 9344.4125, -0.00726537268400484, 1/21/2015 6:00:00 PM, 1/22/2015 10:00:00 AM
BUY, 1.16237, 1.15523, -93.98, -71.4, 1/22/2015 10:00:00 AM, 1/22/2015 1:40:42 PM, 0.5075, 0.5075, 9249.4175, -0.0101659681654678, 1/22/2015 10:00:00 AM, 1/22/2015 1:40:42 PM
SELL, 1.1562902, 1.11369, 554.95, 426, 1/22/2015 2:00:00 PM, 1/23/2015 12:13:48 PM, 0.5075, 0.4475, 9803.4125, 0.0598951231253212, 1/22/2015 2:00:00 PM, 1/23/2015 12:13:48 PM
SELL, 1.11862, 1.12697, -98.62, -83.5, 1/23/2015 1:00:00 PM, 1/23/2015 3:03:52 PM, 0.4475, 0.4475, 9703.8975, -0.0101510570936397, 1/23/2015 1:00:00 PM, 1/23/2015 3:03:52 PM
SELL, 1.1219002, 1.12171, 2.22, 1.9, 1/23/2015 7:00:00 PM, 1/26/2015 7:00:00 AM, 0.4475, 0.615, 9705.055, 0.000119281968920152, 1/23/2015 7:00:00 PM, 1/26/2015 7:00:00 AM
BUY, 1.1217, 1.12387, 23.4, 21.7, 1/26/2015 7:00:00 AM, 1/26/2015 10:00:00 PM, 0.615, 0.3, 9727.54, 0.0023168338561707, 1/26/2015 7:00:00 AM, 1/27/2015 12:00:00 AM
SELL, 1.12384, 1.13299, -98.9, -91.5, 1/26/2015 10:00:00 PM, 1/27/2015 8:57:21 AM, 0.3, 0.3, 9628.04, -0.0102286909126048, 1/27/2015 12:00:00 AM, 1/27/2015 8:57:21 AM
BUY, 1.1337638, 1.13349, -2.87, -2.7, 1/27/2015 9:00:00 AM, 1/28/2015 3:00:00 AM, 0.3, 0.385, 9624.485, -0.0003692340289405, 1/27/2015 9:00:00 AM, 1/28/2015 3:00:00 AM
SELL, 1.1334906, 1.13114, 23.81, 23.5, 1/28/2015 3:00:00 AM, 1/29/2015 12:00:00 PM, 0.385, 0.3775, 9647.5325, 0.00239467358513196, 1/28/2015 3:00:00 AM, 1/29/2015 12:00:00 PM
BUY, 1.13112, 1.13039, -7.41, -7.3, 1/29/2015 12:00:00 PM, 1/29/2015 6:00:00 PM, 0.3775, 0.3775, 9639.3675, -0.000846330395880922, 1/29/2015 12:00:00 PM, 1/29/2015 6:00:00 PM
SELL, 1.1304402, 1.13411, -37.25, -36.7, 1/29/2015 6:00:00 PM, 1/30/2015 9:00:00 AM, 0.3775, 0.385, 9601.355, -0.00394346413289054, 1/29/2015 6:00:00 PM, 1/30/2015 9:00:00 AM
